No,,m_name,address,경도,위도,상태
65,70,김가네김밥 삼천점,전북 전주시 완산구 거마평로 25,127.116659768711,35.7947320288882,정좌표
66,71,꼬맹이김밥,완산구 삼천천변1길 22,127.113073515318,35.7950090597837,정좌표
67,72,롯데리아전주삼천점,전주시 완산구 용리로46,127.115143702538,35.7983042672932,정좌표
68,73,롯데쇼핑㈜롯데슈퍼전주삼천점,전북 전주시 완산구 용리로 46,127.115143702538,35.7983042672932,정좌표
69,74,본죽&비빔밥 전주삼천흥건점,전라북도 전주시 완산구 거마평로 33,127.116652409073,35.7954025393418,정좌표
70,75,얌스(삼천점),전라북도 전주시 완산구 삼천천변1길 28,127.113734099793,35.7949998233443,정좌표
71,76,이삭,전주시 완산구 삼천천변1길 28,127.113734099793,35.7949998233443,정좌표
72,77,뚜레쥬르 흑석골점,전주시 완산구 장승배기로 364,127.149655332872,35.8038251771124,정좌표
73,78,새벽마트,전라북도 전주시 완산구 흑석로 56,127.150379533836,35.7994171966595,정좌표
74,79,오늘도 분식,전주시 완산구 흑석로 64,127.149926348431,35.798814137284,정좌표
75,80,정자마트,전북 전주시 완산구 흑석로 67 우정아파트 상가,127.149985854733,35.7981763246577,정좌표
76,81,청산마트,전북 전주시 완산구 흑석1길 70,127.148763245203,35.7992062854971,정좌표
77,82,경아분식서신점,완산구 서신로 51,127.115614155733,35.83000776048,정좌표
78,83,뚜레쥬르 전주서신점,전주시 완산구 당산로 54,127.114052438811,35.8319930671852,정좌표
79,84,롯데리아전주서신점,전주시 완산구 당산로 112,127.120621526226,35.8319891881874,정좌표
80,85,맛있는청혼,전북 전주시 완산구 감나무로 61-19,127.118033960187,35.8317454009064,정좌표
81,86,밸리하우스서신점,전북 전주시 완산구 서신로 102 -1,127.116402040579,35.8348091140809,정좌표
82,87,본도시락 전주서신점,전라북도 전주시 완산구 온고을로 26,127.120102369246,35.8342021809233,정좌표
83,88,본죽 전주서신풍년점,전라북도 전주시 완산구 온고을로 119,127.110607006504,35.8334120922182,정좌표
84,89,본죽&비빔밥 전주롯데점,전라북도 전주시 완산구 온고을로 30-18,127.120589108301,35.834584559869,정좌표
85,90,본죽&비빔밥 전주서신점,전라북도 전주시 완산구 서신로 11,127.11558853429,35.8265668497319,정좌표
86,92,와이마트,전북 전주시 완산구 전룡로 73,127.120624922841,35.8280795313278,정좌표
87,93,이삭토스트 서일점,전북 전주 완산구 서신로 10,127.116028314347,35.8261985936699,정좌표
88,94,파리바게뜨 중화산점,전주시 완산구 유연로 277,127.116047213896,35.8255777123521,정좌표
89,95,파리바게뜨전주서신점,전북 전주시 완산구 당산로 46,127.113315419469,35.832004222379,정좌표
90,96,해피돈스,전북 전주시 완산구 서신동 감나무4길 13,127.121448738838,35.8314925731107,정좌표
91,97,"CU (구,훼미리마트)(송천비사벌점)",전북 전주시 덕진구 붓내1길 16,127.12341315822,35.8643139636461,정좌표
92,98,"CU (구,훼미리마트)(송천주공점)",전북 전주시 덕진구 솔내로 175,127.126842886826,35.8657457808137,정좌표
93,99,"CU (구,훼미리마트)(송천중앙점)",전북 전주시 덕진구 붓내3길 20,127.123650571089,35.8665180584954,정좌표
94,100,곱떡치떡앤찜꽁찜닭 송천에코점,전주시 덕진구 오송로 15,127.127946971602,35.8599924312877,정좌표
95,101,롯데리아 롯데마트전주송천점,전라북도 전주시 덕진구 송천중앙로 82,127.120459980128,35.8545740520642,정좌표
96,102,롯데리아 전주송천점,전주시 덕진구 솔내로 182,127.127346695918,35.8660787759043,정좌표
97,103,롯데리아 전주에코점,전라북도 전주시 덕진구 세병남로 25,127.127287795008,35.8720032403335,정좌표
98,104,본도시락 전주송천에코시티점,전라북도 전주시 덕진구 천마산로 100,127.131718340745,35.8638674464624,정좌표
99,105,본죽 전주송천점,전라북도 전주시 덕진구 송천중앙로 160,127.121671836407,35.8610176204578,정좌표
100,106,본죽&비빔밥 전주에코시티점,전라북도 전주시 덕진구 세병2길 21,127.126329918836,35.8728218094879,정좌표
101,107,맘스터치 송천점,전주시 덕진구 시천로 46,127.114793597387,35.8633286773495,정좌표
102,108,본죽&비빔밥 전주솔내점,전라북도 전주시 덕진구 시천로 48,127.114713164209,35.863641728396,정좌표
103,109,신포우리만두송천용소점,전북 전주시 덕진구 시천로 50,127.114677678622,35.8638219362879,정좌표
104,110,왕김밥,전북 전주시 덕진구 송천2길 5,127.12058206271,35.8597496770732,정좌표
105,111,한씨네,전북 전주시 덕진구 시천로 39,127.114460709191,35.862737055958,정좌표
106,112,"CU (구,훼미리마트)(전주동산점)",전북 전주시 덕진구 편운로 22,127.078653623916,35.8713770976471,정좌표
107,113,굿모닝행복애찬,전북 전주시 덕진구 편운로 54-11,127.082376660328,35.8734197935294,정좌표
108,114,낙원분식,전북 전주시 덕진구 편운로 52,127.081396313238,35.8731504076674,정좌표
109,115,뚜레쥬르 동산점,전주시 덕진구 쪽구름로 59-1,127.076480305384,35.870742839182,정좌표
110,116,롯데리아 동산점,전북 전주시 덕진구 편운로 6103,127.083123883558,35.8754995082704,인근좌표
111,117,본죽&비빔밥 전주만성점,전라북도 전주시 덕진구 만성중앙로 45,127.076839715661,35.8431108973068,정좌표
112,118,아딸 만성점,전라북도 전주시 덕진구 만성중앙로 17-18,127.074903234637,35.845320941395,정좌표
113,119,얌스(동산반월점),전주 덕진구 편운로 5,127.077128290658,35.8712702172342,정좌표
