음식점번호,음식점명,대표자명,도로명주소,지번주소,음식점유형,읍면동리,본번,부번,도로명,도로명본번,도로명부번,PNU코드
3220,The리치보드카페,윤태준,"광주대로 11-12, 행운빌딩 1층 (역동)",역동 25-7번지 행운빌딩 1층  역동,기타,4161011200,25,7,광주대로,11,12,4.16101E+18
3221,한가득,최석봉,"모개미길 28, 1층 (목현동)",목현동 434-4번지 목현동 1층,한식,4161010600,434,4,모개미길,28,0,4.16101E+18
3222,퇴촌수산시장,이영식,"퇴촌면 광동로 66, 1층",퇴촌면 광동리 146-5번지 1층,회집,4161034021,146,5,광동로,66,0,4.16103E+18
3223,윤식당,이희수,"오포읍 오포로 532, 1층",오포읍 문형리 241-4번지 1층,한식,4161025024,241,4,오포로,532,0,4.16103E+18
3224,포장마차쌍방울,이해형,"초월읍 무들로238번길 3-4, 1층",초월읍 용수리 367-1번지 1층,정종/대포집/소주방,4161025327,367,1,무들로238번길,3,4,4.16103E+18
3225,이가네 냉면 갈비찜,이병완,"문화로 40, 1층 (역동)",역동 1-170번지 역동 1층,한식,4161011200,1,170,문화로,40,0,4.16101E+18
3226,초가삼겹살,정윤회,"곤지암읍 신대길 61, 1층",곤지암읍 신대리 119-14번지 1층,식육(숯불구이),4161025935,119,14,신대길,61,0,4.16103E+18
3227,중화쌀국수,박지은,"경안로25번길 41-1, 1층 (역동)",역동 3-18번지 역동 1층,중국식,4161011200,3,18,경안로25번길,41,1,4.16101E+18
3228,바빈스커피 광주태전점,한지원,"태전동로 56, 힐스테이트 태전1544 지1층 104호 (태전동)",태전동 700번지 힐스테이트태전 1544 지1층  104호 태전동,기타,4161011000,700,0,태전동로,56,0,4.16101E+18
3229,우리치킨호프,양재등,"경안안길 36, 1층 (경안동)",경안동 92-8번지 경안동 1층,호프/통닭,4161010100,92,8,경안안길,36,0,4.16101E+18
3230,CAFE543,정수현,"오포읍 오포로 543, 문형빌딩 제1동 1층",오포읍 문형리 252-2번지 문형빌딩 제1동 동1층,기타,4161025024,252,2,오포로,543,0,4.16103E+18
3231,CafeOre(오르),김지연,"남한산성면 남한산성로 732-11, 1층",남한산성면 산성리 289번지 1층,기타,4161037021,289,0,남한산성로,732,11,4.16104E+18
3232,동선횟집,구본현,"경안안길 37, 1층 (경안동)",경안동 93-3번지 경안동 1층,회집,4161010100,93,3,경안안길,37,0,4.16101E+18
3233,샌드온,이효린,"경안로25번길 39, 1층 (역동)",역동 3-14번지 역동 1층,분식,4161011200,3,14,경안로25번길,39,0,4.16101E+18
3234,권호푸드,권순영,"도척면 노곡로 7-1, 1층",도척면 노곡리 221-23번지 1층,한식,4161033021,221,23,노곡로,7,1,4.16103E+18
3235,용수해장국,박인화,"초월읍 용수길 31-52, 1동 1층",초월읍 용수리 220-3번지 1동 동1층,한식,4161025327,220,3,용수길,31,52,4.16103E+18
3236,O-BAR(오빠),박상봉,"곤지암읍 평촌길 31-12, 3층",곤지암읍 삼리 106-36번지 3층,정종/대포집/소주방,4161025936,106,36,평촌길,31,12,4.16103E+18
3237,일로향실,홍명자,"남종면 산수로 1633-20, 나동 2층",남종면 분원리 431-3번지 나동 2층,한식,4161035021,431,3,산수로,1633,20,4.16104E+18
3238,여우커피앤호프,박윤미,"오포읍 매자리길 3, 지1층",오포읍 매산리 224-16번지 지1층,호프/통닭,4161025026,224,16,매자리길,3,0,4.16103E+18
3239,Kitchen.W(키친닷더블유),이우영,"오포읍 새말길 282, 라임하우스 1층",오포읍 신현리 514-3번지 라임하우스 1층,경양식,4161025022,514,3,새말길,282,0,4.16103E+18
3240,왕짱구분식,모종금,"경안안길 49-1, 1층 (경안동)",경안동 72-61번지 경안동 1층,분식,4161010100,72,61,경안안길,49,1,4.16101E+18
3241,투다리(양벌리현대점),홍선애,"오포읍 양촌길 151, 로얄빌딩 1층",오포읍 양벌리 552-3번지 로얄빌딩 1층,호프/통닭,4161025027,552,3,양촌길,151,0,4.16103E+18
3242,장터비빔국수모듬조개,서원준,"곤지암읍 대석동길 17, 1층",곤지암읍 신대리 56-1번지 1층,한식,4161025935,56,1,대석동길,17,0,4.16103E+18
3243,세쯔야,XUE MING HUAN,, ,일식,,,,,,,
3244,커피베이비,서영희,"퇴촌면 천진암로 342, 1층",퇴촌면 광동리 182-3번지 1층,기타,4161034021,182,3,천진암로,342,0,4.16103E+18
3245,우리집,이은주,"경안로 32-3, 1층 (경안동)",경안동 36-49번지 경안동 1층,한식,4161010100,36,49,경안로,32,3,4.16101E+18
3246,썬더치킨,양옥희,"오포읍 신현로 97, 1층",오포읍 신현리 666-1번지 1층,호프/통닭,4161025022,666,1,신현로,97,0,4.16103E+18
3247,꽃길로731,임부택,"남한산성면 남한산성로 731-20, 1층",남한산성면 산성리 171번지 1층,기타,4161037021,171,0,남한산성로,731,20,4.16104E+18
3248,조이포쌀국수,이남형,"중앙로 307-5, 남형빌딩 1층 (송정동)",송정동 334-8번지 남형빌딩 1층  송정동,"외국음식전문점(인도,태국등)",4161010300,334,8,중앙로,307,5,4.16101E+18
3249,화담이락,오주열 외 1명,"오포읍 오포로 334, 1층",오포읍 문형리 705-13번지 1층,한식,4161025024,705,13,오포로,334,0,4.16103E+18
3250,토기와,박윤식,"남한산성면 남한산성로 763-22, 1층",남한산성면 산성리 509번지 1층,한식,4161037021,509,0,남한산성로,763,22,4.16104E+18
3251,떡킹(국물떡복기 잘하는집),박효순,"역동로34번길 25, 1층 (역동, 동양파크빌)",역동 7-3번지 동양파크빌 1층,분식,4161011200,7,3,역동로34번길,25,0,4.16101E+18
3252,Raum(라움),조형,"오포읍 능평로30번길 6-22, A동 1층",오포읍 능평리 449번지 A동 1층,기타,4161025023,449,0,능평로30번길,6,22,4.16103E+18
3253,돈떡이네,권순화,"퇴촌면 광동로 72, 1층",퇴촌면 광동리 142번지 1층,식육(숯불구이),4161034021,142,0,광동로,72,0,4.16103E+18
3254,메종뒤샤,김인균,"오포읍 문형산길 70-9, 럭키하우스 지1층",오포읍 신현리 328-2번지 럭키하우스 지1층,기타,4161025022,328,2,문형산길,70,9,4.16103E+18
3255,수라이브카페,김형신,"광주대로 11-20, 2층 (역동)",역동 23-35번지 역동 2층,라이브카페,4161011200,23,35,광주대로,11,20,4.16101E+18
3256,소담고방,김은지,"오포읍 문형산안길1번길 28, 앳홈110동 2층",오포읍 신현리 157-3번지 앳홈 110동 동2층,한식,4161025022,157,3,문형산안길1번길,28,0,4.16103E+18
3257,브론즈드리앙,장미아,"고불로 73-37, 1층 (태전동)",태전동 261-57번지 태전동 1층,경양식,4161011000,261,57,고불로,73,37,4.16101E+18
3258,프리미엄옛날통닭,장명희,"경충대로1461번길 43, 134동 지2층 107, 108호 (쌍령동, 광주 센트럴 푸르지오)",쌍령동 503번지 광주센트럴푸르지오 134동 지층 2층 107 108호,호프/통닭,4161010200,503,0,경충대로1461번길,43,0,4.16101E+18
3259,피자머꼬싶닭,박지나,"순암로 289, 1층 (중대동)",중대동 98-6번지 중대동 1층,호프/통닭,4161010800,98,6,순암로,289,0,4.16101E+18
3260,퇴촌메밀소바&막국수,김봉휘,"퇴촌면 정영로 950, 나동 1층",퇴촌면 영동리 26-4번지 나동 1층,한식,4161034024,26,4,정영로,950,0,4.16103E+18
3261,VECER(베체르),조현국,"오포읍 양벌로 300-2, 102동 101호 (로얄팰리스)",오포읍 양벌리 562-18번지 로얄팰리스 102동 101호,경양식,4161025027,562,18,양벌로,300,2,4.16103E+18
3262,블루,조광식,"곤지암읍 경충대로 544, 1층",곤지암읍 곤지암리 338-4번지 1층,경양식,4161025921,338,4,경충대로,544,0,4.16103E+18
3263,미나,김미나,"통미로16번길 12-3, 1층 (송정동)",송정동 101-29번지 송정동 1층,한식,4161010300,101,29,통미로16번길,12,3,4.16101E+18
3264,용이루,최신용,"중앙로 175, 1층 (송정동)",송정동 592-1번지 송정동 1층,한식,4161010300,592,1,중앙로,175,0,4.16101E+18
3265,설레족발회덕점,김원겸,"이배재로 120, 신주빌딩 1층 (회덕동)",회덕동 271-5번지 신주빌딩 1층  회덕동,한식,4161010400,271,5,이배재로,120,0,4.16101E+18
3266,램브로,김현희,"곤지암읍 평촌길 35-15, 삼원빌딩 1층",곤지암읍 삼리 106-15번지 삼원빌딩 1층,식육(숯불구이),4161025936,106,15,평촌길,35,15,4.16103E+18
3267,유로코피자,장은혜,"회덕길 13, 1층 (회덕동)",회덕동 264-3번지 회덕동 1층,경양식,4161010400,264,3,회덕길,13,0,4.16101E+18
3268,옛날통닭,강선아,"오포읍 대명대길 9, 1층",오포읍 능평리 416-2번지 1층,호프/통닭,4161025023,416,2,대명대길,9,0,4.16103E+18
3269,행복한식뷔페,방지선,"오포읍 매자리길 97, 1층",오포읍 매산리 72-3번지 1층,한식,4161025026,72,3,매자리길,97,0,4.16103E+18
3270,혼다라멘 광주경안점,조윤희,"경안안길 77-4, 주건축물제1동 1층 (경안동)",경안동 55-1번지 주건축물제 1동 동1층  경안동,일식,4161010100,55,1,경안안길,77,4,4.16101E+18
3271,태봉포차,최연수,"고불로 88, 1층 (태전동)",태전동 271-2번지 태전동 1층,정종/대포집/소주방,4161011000,271,2,고불로,88,0,4.16101E+18
3272,엉클괌,박준일,"역동로63번길 18-4, 1층 (역동)",역동 139-51번지 역동 1층,한식,4161011200,139,51,역동로63번길,18,4,4.16101E+18
3273,동궁염소탕,곽아영,"도척면 도척윗로 248, 주건축물제1동 1층",도척면 궁평리 589번지 주건축물제 1동 동1층,한식,4161033027,589,0,도척윗로,248,0,4.16103E+18
3274,치킨선생,최동미,"태봉로 51, 성원프라자 1층 105호 (태전동)",태전동 628번지 성원프라자 1층  105호 태전동,호프/통닭,4161011000,628,0,태봉로,51,0,4.16101E+18
3275,곤지암흑염소가든,홍희원,"곤지암읍 신만로 507-22, 1층",곤지암읍 만선리 212-2번지 1층,한식,4161025927,212,2,신만로,507,22,4.16103E+18
3276,탐앤탐스낙선재점,박학정,"남한산성면 불당길 101, 3동 1층",남한산성면 불당리 194-1번지 3동 동1층,기타,4161037027,194,1,불당길,101,0,4.16104E+18
3277,푸른수산,강정원,"중앙로 6, 1층 (쌍령동)",쌍령동 102-1번지 쌍령동 1층,한식,4161010200,102,1,중앙로,6,0,4.16101E+18
