업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,업태명
일반음식점,2011-04-04,먹보포차,"서울특별시 중랑구 면목로 388 (면목동,1층)",서울특별시 중랑구 면목동 114-1 1층 ,29.75,정종/대포집/소주방
일반음식점,2011-04-05,유토피자&닭함께차차차,"서울특별시 중랑구 동일로102길 58, 1층 (면목동)",서울특별시 중랑구 면목동 136-18 ,46.2,통닭(치킨)
일반음식점,2011-04-08,정류장식당,"서울특별시 중랑구 답십리로81길 19 (면목동,1층)",서울특별시 중랑구 면목동 399-106 1층 ,30,한식
일반음식점,2011-04-11,밤앤술(밤&술),서울특별시 중랑구 면목로45길 15 (면목동),서울특별시 중랑구 면목동 601-18 ,48.54,기타
일반음식점,2011-04-12,할매순대국,"서울특별시 중랑구 용마산로 320-7 (면목동,1층)",서울특별시 중랑구 면목동 1084-0 1층 ,33.65,한식
일반음식점,2011-04-12,옛날메밀전,"서울특별시 중랑구 면목로49길 42, 1층 (면목동)",서울특별시 중랑구 면목동 573-33 ,26.44,한식
일반음식점,2011-04-13,배달의민족,서울특별시 중랑구 사가정로29길 38 (면목동),서울특별시 중랑구 면목동 162-20 ,33.05,통닭(치킨)
일반음식점,2011-04-20,밥세상,"서울특별시 중랑구 면목로61길 8 (면목동,1층)",서울특별시 중랑구 면목동 504-18 1층 ,49.8,한식
일반음식점,2011-04-21,현이네쌈밥,"서울특별시 중랑구 용마산로96길 8 (면목동,1층)",서울특별시 중랑구 면목동 17-36 1층 ,32,한식
일반음식점,2011-04-25,유쾌한육회집,"서울특별시 중랑구 중랑역로 22-1 (중화동,1층)",서울특별시 중랑구 중화동 298-29 1층 ,26.4,한식
일반음식점,2011-04-28,꼬꼬닭,"서울특별시 중랑구 중랑천로12길 24 (상봉동,1층)",서울특별시 중랑구 상봉동 136-25 1층 ,50.19,한식
일반음식점,2011-04-29,전설의짬뽕,"서울특별시 중랑구 동일로 939, 1층 (묵동)",서울특별시 중랑구 묵동 234-52 ,100,중국식
일반음식점,2011-05-11,현미식당,"서울특별시 중랑구 면목로 255 (면목동,1층)",서울특별시 중랑구 면목동 372-3 1층 ,16.5,한식
일반음식점,2011-05-18,행복한밥집,"서울특별시 중랑구 망우로73길 37 (망우동,1층)",서울특별시 중랑구 망우동 344-2 1층 ,13.22,한식
일반음식점,2011-05-23,송향,서울특별시 중랑구 면목로42길 14 (면목동),서울특별시 중랑구 면목동 618-1 ,35,정종/대포집/소주방
일반음식점,2011-05-26,불타는곱창,"서울특별시 중랑구 동일로143길 36 (묵동,1층)",서울특별시 중랑구 묵동 249-109 1층 ,14.85,정종/대포집/소주방
일반음식점,2011-05-30,희야7080,"서울특별시 중랑구 중랑역로 147, 지하1층 (묵동)",서울특별시 중랑구 묵동 246-39 ,96.37,호프/통닭
일반음식점,2011-05-31,오동식당,"서울특별시 중랑구 겸재로 130 (면목동,1층)",서울특별시 중랑구 면목동 149-4 1층 ,23.14,한식
일반음식점,2011-06-02,동해바다생선구이,"서울특별시 중랑구 양원역로8길 30 (망우동,1층)",서울특별시 중랑구 망우동 83-4 1층 ,98.81,한식
일반음식점,2011-06-02,엉터리생고기 상봉점,"서울특별시 중랑구 망우로 186 (상봉동,1층)",서울특별시 중랑구 상봉동 136-9 1층 ,360.46,한식
일반음식점,2011-06-03,중화반점,"서울특별시 중랑구 동일로 859 (묵동,1층)",서울특별시 중랑구 묵동 245-6 1층 ,23.1,중국식
일반음식점,2011-06-07,꼬기집,"서울특별시 중랑구 용마산로115길 38 (망우동,1층)",서울특별시 중랑구 망우동 470-7 1층 ,84.82,한식
일반음식점,2011-06-13,쌍마,"서울특별시 중랑구 사가정로42길 21 (면목동,지하1층)",서울특별시 중랑구 면목동 652-33 지하1층 ,114.4,호프/통닭
일반음식점,2011-06-14,아낌없이 주는 식당,"서울특별시 중랑구 상봉로 83 (면목동, 1층)",서울특별시 중랑구 면목동 89-33 ,66,한식
일반음식점,2011-06-14,굿맘할매순대국,"서울특별시 중랑구 면목로 394 (면목동,1층)",서울특별시 중랑구 면목동 359-15 1층 ,46.17,한식
일반음식점,2011-06-15,마영균족발집,"서울특별시 중랑구 신내로 225, 146호 (신내동, 디아뜨갤러리)",서울특별시 중랑구 신내동 648 ,42.9,한식
일반음식점,2011-06-16,만원포차,"서울특별시 중랑구 봉화산로56길 94 (신내동,1층)",서울특별시 중랑구 신내동 470-3 1층 ,69,정종/대포집/소주방
일반음식점,2011-06-17,풍산목살양념바베큐,"서울특별시 중랑구 상봉로12길 16 (망우동,1층)",서울특별시 중랑구 망우동 525-2 1층 ,31.19,기타
