시군명,상호명,업종명,소재지(도로명주소),우편번호,위도,경도,데이터기준일자
의정부시,CSH커피,일반휴게음식-서양음식,경기도 의정부시 장곡로 474,11740,37.74484,127.056694,2020-09-04
의정부시,CUP.P.JUS(커피쥬스),일반휴게음식-서양음식,경기도 의정부시 시민로131번길 27,11695,37.739291,127.049624,2020-09-04
의정부시,DAY OFF(데이오프),일반휴게음식-서양음식,경기도 의정부시 용민로 304,11812,,,2020-09-04
의정부시,DUTCH480 K.H,일반휴게음식-일반한식,경기도 의정부시 경의로118번길 36,11700,,,2020-09-04
의정부시,DUTCH480K.H,일반휴게음식-일반한식,경기도 의정부시 경의로118번길 36,11700,,,2020-09-04
의정부시,Emperia(엠페리아),일반휴게음식-일반한식,경기도 의정부시 평화로 195,11711,37.709209,127.047711,2020-09-04
의정부시,HOO CHOO 후추,일반휴게음식-일반한식,경기도 의정부시 오목로225번길 16-18,11813,,,2020-09-04
의정부시,hwani화니,일반휴게음식-서양음식,경기도 의정부시 호국로1298번길 13,11692,37.742851,127.048287,2020-09-04
의정부시,IK 딜리버리,일반휴게음식-일반한식,경기도 의정부시 시민로157번길 32,11694,37.738909,127.052358,2020-09-04
의정부시,J&K즉석떡볶이카페,일반휴게음식-일반한식,경기도 의정부시 시민로156번길 47 ,11698,37.735408,127.050847,2020-09-04
의정부시,J.Won라떼(제이원라떼),일반휴게음식-서양음식,경기도 의정부시 시민로 29,11673,37.73843,127.038346,2020-09-04
의정부시,JC Coffee(제이씨커피)/제이씨사회적협동조,일반휴게음식-서양음식,경기도 의정부시 평화로 447,11700,,,2020-09-04
의정부시,JSK개발 (커피니 의정부역점),일반휴게음식-서양음식,경기도 의정부시 평화로530 ,11695,37.7394,127.04765,2020-09-04
의정부시,LA갈비찜닭 숯불고기냉면,일반휴게음식-일반한식,경기도 의정부시 경의로55번길 6 ,11653,,,2020-09-04
의정부시,Lisian(리시안),일반휴게음식-일반한식,경기도 의정부시 범골로157번길 25-12,11650,37.737213,127.042101,2020-09-04
